Action_ID,Security_ID,Action_Type,Action_Date,Amount
ACT000001,SEC00081,Merger,11/1/2024,2.96
ACT000002,SEC00135,SpinOff,4/12/2025,3.27
ACT000003,SEC00066,SpinOff,8/21/2025,
ACT000004,SEC00030,Merger,3/10/2025,0.4
ACT000005,SEC00014,RightsIssue,3/5/2025,3.94
ACT000006,SEC00020,Dividend,1/20/2025,0.15
ACT000007,SEC00017,SpinOff,12/31/2024,
ACT000008,SEC00003,Merger,5/18/2025,0.44
ACT000009,SEC00093,RightsIssue,1/27/2025,0.67
ACT000010,SEC00159,Dividend,3/4/2025,0.72
ACT000011,SEC00180,RightsIssue,10/21/2024,3.49
ACT000012,SEC00088,Dividend,11/8/2024,0.78
ACT000013,SEC00060,RightsIssue,4/16/2025,0.23
ACT000014,SEC00180,SpinOff,9/24/2024,2.16
ACT000015,SEC00022,RightsIssue,1/23/2025,2.73
ACT000016,SEC00001,RightsIssue,9/9/2025,2.18
ACT000017,SEC00040,Merger,4/10/2025,4.6
ACT000018,SEC00039,RightsIssue,3/7/2025,3.91
ACT000019,SEC00005,SpinOff,3/31/2025,3.19
ACT000020,SEC00133,SpinOff,8/18/2025,
ACT000021,SEC00078,Dividend,9/12/2024,
ACT000022,SEC00079,RightsIssue,8/6/2025,2.49
ACT000023,SEC00081,RightsIssue,4/21/2025,
ACT000024,SEC00111,Split,2/23/2025,1.31
ACT000025,SEC00149,SpinOff,10/6/2024,
ACT000026,SEC00072,SpinOff,8/22/2025,3.12
ACT000027,SEC00089,Merger,7/27/2025,
ACT000028,SEC00058,Split,12/27/2024,1.4
ACT000029,SEC00111,SpinOff,2/12/2025,2.49
ACT000030,SEC00009,Split,11/29/2024,4.38
ACT000031,SEC00072,Merger,9/12/2024,1.75
ACT000032,SEC00097,Split,12/5/2024,3.07
ACT000033,SEC00161,RightsIssue,2/23/2025,2.68
ACT000034,SEC00078,Split,4/13/2025,0.39
ACT000035,SEC00175,RightsIssue,9/3/2025,3.73
ACT000036,SEC00079,Split,9/22/2024,1.7
ACT000037,SEC00052,Dividend,5/14/2025,1.62
ACT000038,SEC00166,Dividend,10/25/2024,1.45
ACT000039,SEC00135,SpinOff,6/2/2025,0.88
ACT000040,SEC00143,Split,12/5/2024,
ACT000041,SEC00079,Split,11/7/2024,2.65
ACT000042,SEC00015,SpinOff,7/17/2025,
ACT000043,SEC00068,SpinOff,9/11/2025,3.12
ACT000044,SEC00110,Merger,3/25/2025,
ACT000045,SEC00095,Merger,6/26/2025,0.33
ACT000046,SEC00021,Merger,7/4/2025,
ACT000047,SEC00145,RightsIssue,6/15/2025,2.65
ACT000048,SEC00130,Merger,9/20/2024,
ACT000049,SEC00048,Merger,11/24/2024,1.85
ACT000050,SEC00099,RightsIssue,8/21/2025,3.2
ACT000051,SEC00030,Merger,3/17/2025,2.45
ACT000052,SEC00032,Split,6/23/2025,
ACT000053,SEC00024,Dividend,1/8/2025,0.48
ACT000054,SEC00044,Merger,5/17/2025,1.65
ACT000055,SEC00109,RightsIssue,1/8/2025,2.28
ACT000056,SEC00042,SpinOff,12/9/2024,4.61
ACT000057,SEC00170,RightsIssue,7/18/2025,4.96
ACT000058,SEC00163,Merger,8/30/2025,1.58
ACT000059,SEC00086,Split,1/28/2025,3.49
ACT000060,SEC00031,Split,9/17/2024,4.97
ACT000061,SEC00173,Split,9/15/2024,
ACT000062,SEC00033,Split,3/24/2025,3.35
ACT000063,SEC00164,RightsIssue,8/9/2025,
ACT000064,SEC00054,SpinOff,2/26/2025,1.51
ACT000065,SEC00001,SpinOff,7/26/2025,
ACT000066,SEC00113,Merger,10/5/2024,2.58
ACT000067,SEC00004,Split,8/24/2025,0.36
ACT000068,SEC00117,Dividend,1/12/2025,4.8
ACT000069,SEC00103,Dividend,1/8/2025,
ACT000070,SEC00161,SpinOff,4/26/2025,2.6
ACT000071,SEC00085,SpinOff,8/19/2025,0.82
ACT000072,SEC00133,Merger,12/30/2024,
ACT000073,SEC00167,Dividend,7/23/2025,
ACT000074,SEC00171,SpinOff,5/13/2025,2.72
ACT000075,SEC00019,SpinOff,2/3/2025,
ACT000076,SEC00164,SpinOff,2/9/2025,
ACT000077,SEC00114,SpinOff,8/19/2025,3.36
ACT000078,SEC00107,Split,8/17/2025,4.86
ACT000079,SEC00028,RightsIssue,3/30/2025,3.05
ACT000080,SEC00165,Merger,5/9/2025,
ACT000081,SEC00001,Merger,1/22/2025,0.58
ACT000082,SEC00100,Dividend,12/30/2024,3.31
ACT000083,SEC00006,Dividend,4/4/2025,2.13
ACT000084,SEC00015,Dividend,9/17/2024,
ACT000085,SEC00001,SpinOff,4/13/2025,3.88
ACT000086,SEC00027,Dividend,2/26/2025,2.04
ACT000087,SEC00036,Split,9/4/2025,
ACT000088,SEC00155,Dividend,9/9/2025,
ACT000089,SEC00074,Dividend,9/16/2024,1.33
ACT000090,SEC00163,Merger,2/28/2025,1.12
ACT000091,SEC00141,Merger,9/21/2024,2.7
ACT000092,SEC00147,Dividend,5/7/2025,2.09
ACT000093,SEC00127,Merger,1/25/2025,4.93
ACT000094,SEC00065,Dividend,3/5/2025,3.99
ACT000095,SEC00119,Dividend,12/25/2024,
